Comunidad (Original);Comunidad Limpio;Comunidad en Inglés;Año;Sector Id;Sector;Gasto en I+D (Miles €);PIB (Miles €);% PIB I+D;Sector Nombre
(ES61) Andalucía;Andalucía;Andalusia;2007;(ADMINISTRACION_PUBLICA);Government sector;336946;149010277;0.23;Administración Pública
(ES62) Región de Murcia;Región de Murcia;Murcia;2007;(ADMINISTRACION_PUBLICA);Government sector;40031;28418142;0.14;Administración Pública
(ES63) Ciudad Autónoma de Ceuta;Ciudad Autónoma de Ceuta;Ceuta;2007;(ADMINISTRACION_PUBLICA);Government sector;51;1420486;0.0;Administración Pública
(ES64) Ciudad Autónoma de Melilla;Ciudad Autónoma de Melilla;Melilla;2007;(ADMINISTRACION_PUBLICA);Government sector;51;1296125;0.0;Administración Pública
(ES70) Canarias;Canarias;Canary Islands;2007;(ENSENIANZA_SUPERIOR);Higher education sector;127328;39902031;0.32;Enseñanza Superior
(ES11) Galicia;Galicia;Galicia;2007;(ENSENIANZA_SUPERIOR);Higher education sector;175078;56005680;0.31;Enseñanza Superior
(ES12) Principado de Asturias;Principado de Asturias;Asturias;2007;(ENSENIANZA_SUPERIOR);Higher education sector;73354;22873639;0.32;Enseñanza Superior
(ES13) Cantabria;Cantabria;Cantabria;2007;(ENSENIANZA_SUPERIOR);Higher education sector;52008;12838674;0.41;Enseñanza Superior
(ES21) País Vasco;País Vasco;Basque Country;2007;(ENSENIANZA_SUPERIOR);Higher education sector;174602;63889516;0.27;Enseñanza Superior
(ES22) Comunidad Foral de Navarra;Comunidad Foral de Navarra;Navarre;2007;(ENSENIANZA_SUPERIOR);Higher education sector;78479;17870475;0.44;Enseñanza Superior
(ES23) La Rioja;La Rioja;La Rioja;2007;(ENSENIANZA_SUPERIOR);Higher education sector;16198;7961817;0.2;Enseñanza Superior
(ES24) Aragón;Aragón;Aragon;2007;(ENSENIANZA_SUPERIOR);Higher education sector;67424;34148523;0.2;Enseñanza Superior
(ES30) Comunidad de Madrid;Comunidad de Madrid;Madrid;2007;(ENSENIANZA_SUPERIOR);Higher education sector;572368;194151492;0.29;Enseñanza Superior
(ES41) Castilla y León;Castilla y León;Castile and León;2007;(ENSENIANZA_SUPERIOR);Higher education sector;198282;55130537;0.36;Enseñanza Superior
(ES42) Castilla - La Mancha;Castilla - La Mancha;Castilla–La Mancha;2007;(ENSENIANZA_SUPERIOR);Higher education sector;69971;39219857;0.18;Enseñanza Superior
(ES43) Extremadura;Extremadura;Extremadura;2007;(ENSENIANZA_SUPERIOR);Higher education sector;63746;18136908;0.35;Enseñanza Superior
(ES51) Cataluña;Cataluña;Catalonia;2007;(ENSENIANZA_SUPERIOR);Higher education sector;677379;202742146;0.33;Enseñanza Superior
(ES52) Comunidad Valenciana;Comunidad Valenciana;Valencia;2007;(ENSENIANZA_SUPERIOR);Higher education sector;453255;104836698;0.43;Enseñanza Superior
(ES53) Illes Balears / Islas Baleares;Illes Balears / Islas Baleares;Balearic Islands;2007;(ENSENIANZA_SUPERIOR);Higher education sector;39828;26749452;0.15;Enseñanza Superior
(ES61) Andalucía;Andalucía;Andalusia;2007;(ENSENIANZA_SUPERIOR);Higher education sector;592828;149010277;0.4;Enseñanza Superior
(ES62) Región de Murcia;Región de Murcia;Murcia;2007;(ENSENIANZA_SUPERIOR);Higher education sector;81305;28418142;0.29;Enseñanza Superior
(ES63) Ciudad Autónoma de Ceuta;Ciudad Autónoma de Ceuta;Ceuta;2007;(ENSENIANZA_SUPERIOR);Higher education sector;2058;1420486;0.14;Enseñanza Superior
(ES64) Ciudad Autónoma de Melilla;Ciudad Autónoma de Melilla;Melilla;2007;(ENSENIANZA_SUPERIOR);Higher education sector;3102;1296125;0.24;Enseñanza Superior
(ES70) Canarias;Canarias;Canary Islands;2007;(_T);All Sectors;266803;39902031;0.67;Total
(ES11) Galicia;Galicia;Galicia;2007;(_T);All Sectors;555626;56005680;0.99;Total
(ES12) Principado de Asturias;Principado de Asturias;Asturias;2007;(_T);All Sectors;211704;22873639;0.93;Total
(ES13) Cantabria;Cantabria;Cantabria;2007;(_T);All Sectors;117464;12838674;0.91;Total
(ES21) País Vasco;País Vasco;Basque Country;2007;(_T);All Sectors;1216726;63889516;1.9;Total
(ES22) Comunidad Foral de Navarra;Comunidad Foral de Navarra;Navarre;2007;(_T);All Sectors;333872;17870475;1.87;Total
(ES23) La Rioja;La Rioja;La Rioja;2007;(_T);All Sectors;90205;7961817;1.13;Total
(ES24) Aragón;Aragón;Aragon;2007;(_T);All Sectors;296894;34148523;0.87;Total
(ES30) Comunidad de Madrid;Comunidad de Madrid;Madrid;2007;(_T);All Sectors;3584130;194151492;1.85;Total
(ES41) Castilla y León;Castilla y León;Castile and León;2007;(_T);All Sectors;620717;55130537;1.13;Total
(ES42) Castilla - La Mancha;Castilla - La Mancha;Castilla–La Mancha;2007;(_T);All Sectors;213959;39219857;0.55;Total
(ES43) Extremadura;Extremadura;Extremadura;2007;(_T);All Sectors;128964;18136908;0.71;Total
(ES51) Cataluña;Cataluña;Catalonia;2007;(_T);All Sectors;2908727;202742146;1.43;Total
(ES52) Comunidad Valenciana;Comunidad Valenciana;Valencia;2007;(_T);All Sectors;977590;104836698;0.93;Total
(ES53) Illes Balears / Islas Baleares;Illes Balears / Islas Baleares;Balearic Islands;2007;(_T);All Sectors;86793;26749452;0.32;Total
(ES61) Andalucía;Andalucía;Andalusia;2007;(_T);All Sectors;1478545;149010277;0.99;Total
(ES62) Región de Murcia;Región de Murcia;Murcia;2007;(_T);All Sectors;247556;28418142;0.87;Total
(ES63) Ciudad Autónoma de Ceuta;Ciudad Autónoma de Ceuta;Ceuta;2007;(_T);All Sectors;2141;1420486;0.15;Total
(ES64) Ciudad Autónoma de Melilla;Ciudad Autónoma de Melilla;Melilla;2007;(_T);All Sectors;3957;1296125;0.31;Total
(ES70) Canarias;Canarias;Canary Islands;2007;(IPSFL);Private non-profit sector;89;39902031;0.0;Instituciones Privadas sin Fines de Lucro
(ES70) Canarias;Canarias;Canary Islands;2007;(EMPRESAS_IPSFL);Private non-profit sector;60535;39902031;0.15;Empresas e Instituciones Privadas sin Fines de Lucro
(ES11) Galicia;Galicia;Galicia;2007;(EMPRESAS_IPSFL);Private non-profit sector;307668;56005680;0.55;Empresas e Instituciones Privadas sin Fines de Lucro
(ES12) Principado de Asturias;Principado de Asturias;Asturias;2007;(EMPRESAS_IPSFL);Private non-profit sector;96838;22873639;0.42;Empresas e Instituciones Privadas sin Fines de Lucro
(ES13) Cantabria;Cantabria;Cantabria;2007;(EMPRESAS_IPSFL);Private non-profit sector;43830;12838674;0.34;Empresas e Instituciones Privadas sin Fines de Lucro
(ES21) País Vasco;País Vasco;Basque Country;2007;(EMPRESAS_IPSFL);Private non-profit sector;991617;63889516;1.55;Empresas e Instituciones Privadas sin Fines de Lucro
(ES22) Comunidad Foral de Navarra;Comunidad Foral de Navarra;Navarre;2007;(EMPRESAS_IPSFL);Private non-profit sector;219201;17870475;1.23;Empresas e Instituciones Privadas sin Fines de Lucro
(ES23) La Rioja;La Rioja;La Rioja;2007;(EMPRESAS_IPSFL);Private non-profit sector;57488;7961817;0.72;Empresas e Instituciones Privadas sin Fines de Lucro
(ES24) Aragón;Aragón;Aragon;2007;(EMPRESAS_IPSFL);Private non-profit sector;164049;34148523;0.48;Empresas e Instituciones Privadas sin Fines de Lucro
(ES30) Comunidad de Madrid;Comunidad de Madrid;Madrid;2007;(EMPRESAS_IPSFL);Private non-profit sector;2121436;194151492;1.09;Empresas e Instituciones Privadas sin Fines de Lucro
(ES41) Castilla y León;Castilla y León;Castile and León;2007;(EMPRESAS_IPSFL);Private non-profit sector;366067;55130537;0.66;Empresas e Instituciones Privadas sin Fines de Lucro
(ES42) Castilla - La Mancha;Castilla - La Mancha;Castilla–La Mancha;2007;(EMPRESAS_IPSFL);Private non-profit sector;106281;39219857;0.27;Empresas e Instituciones Privadas sin Fines de Lucro
(ES43) Extremadura;Extremadura;Extremadura;2007;(EMPRESAS_IPSFL);Private non-profit sector;21286;18136908;0.12;Empresas e Instituciones Privadas sin Fines de Lucro
(ES51) Cataluña;Cataluña;Catalonia;2007;(EMPRESAS_IPSFL);Private non-profit sector;1833011;202742146;0.9;Empresas e Instituciones Privadas sin Fines de Lucro
(ES52) Comunidad Valenciana;Comunidad Valenciana;Valencia;2007;(EMPRESAS_IPSFL);Private non-profit sector;388922;104836698;0.37;Empresas e Instituciones Privadas sin Fines de Lucro
(ES53) Illes Balears / Islas Baleares;Illes Balears / Islas Baleares;Balearic Islands;2007;(EMPRESAS_IPSFL);Private non-profit sector;20876;26749452;0.08;Empresas e Instituciones Privadas sin Fines de Lucro
(ES61) Andalucía;Andalucía;Andalusia;2007;(EMPRESAS_IPSFL);Private non-profit sector;548771;149010277;0.37;Empresas e Instituciones Privadas sin Fines de Lucro
(ES62) Región de Murcia;Región de Murcia;Murcia;2007;(EMPRESAS_IPSFL);Private non-profit sector;126220;28418142;0.44;Empresas e Instituciones Privadas sin Fines de Lucro
(ES63) Ciudad Autónoma de Ceuta;Ciudad Autónoma de Ceuta;Ceuta;2007;(EMPRESAS_IPSFL);Private non-profit sector;32;1420486;0.0;Empresas e Instituciones Privadas sin Fines de Lucro
(ES64) Ciudad Autónoma de Melilla;Ciudad Autónoma de Melilla;Melilla;2007;(EMPRESAS_IPSFL);Private non-profit sector;804;1296125;0.06;Empresas e Instituciones Privadas sin Fines de Lucro
(ES70) Canarias;Canarias;Canary Islands;2007;(EMPRESAS);Business enterprise sector;60446;39902031;0.15;Empresas
(ES70) Canarias;Canarias;Canary Islands;2008;(ADMINISTRACION_PUBLICA);Government sector;81374;41156055;0.2;Administración Pública
(ES11) Galicia;Galicia;Galicia;2008;(ADMINISTRACION_PUBLICA);Government sector;77511;58253982;0.13;Administración Pública
(ES12) Principado de Asturias;Principado de Asturias;Asturias;2008;(ADMINISTRACION_PUBLICA);Government sector;36433;23614274;0.15;Administración Pública
(ES13) Cantabria;Cantabria;Cantabria;2008;(ADMINISTRACION_PUBLICA);Government sector;23802;13280853;0.18;Administración Pública
(ES21) País Vasco;País Vasco;Basque Country;2008;(ADMINISTRACION_PUBLICA);Government sector;63984;66382420;0.1;Administración Pública
(ES22) Comunidad Foral de Navarra;Comunidad Foral de Navarra;Navarre;2008;(ADMINISTRACION_PUBLICA);Government sector;27985;18620264;0.15;Administración Pública
(ES23) La Rioja;La Rioja;La Rioja;2008;(ADMINISTRACION_PUBLICA);Government sector;16011;8264894;0.19;Administración Pública
(ES24) Aragón;Aragón;Aragon;2008;(ADMINISTRACION_PUBLICA);Government sector;71414;35439689;0.2;Administración Pública
(ES30) Comunidad de Madrid;Comunidad de Madrid;Madrid;2008;(ADMINISTRACION_PUBLICA);Government sector;996775;201865569;0.49;Administración Pública
(ES41) Castilla y León;Castilla y León;Castile and León;2008;(ADMINISTRACION_PUBLICA);Government sector;73951;56295496;0.13;Administración Pública
(ES42) Castilla - La Mancha;Castilla - La Mancha;Castilla–La Mancha;2008;(ADMINISTRACION_PUBLICA);Government sector;34815;40786424;0.09;Administración Pública
(ES43) Extremadura;Extremadura;Extremadura;2008;(ADMINISTRACION_PUBLICA);Government sector;39918;18842360;0.21;Administración Pública
(ES51) Cataluña;Cataluña;Catalonia;2008;(ADMINISTRACION_PUBLICA);Government sector;554638;208161832;0.27;Administración Pública
(ES52) Comunidad Valenciana;Comunidad Valenciana;Valencia;2008;(ADMINISTRACION_PUBLICA);Government sector;134116;107950942;0.12;Administración Pública
(ES53) Illes Balears / Islas Baleares;Illes Balears / Islas Baleares;Balearic Islands;2008;(ADMINISTRACION_PUBLICA);Government sector;30302;27892127;0.11;Administración Pública
(ES61) Andalucía;Andalucía;Andalusia;2008;(ADMINISTRACION_PUBLICA);Government sector;361330;152247439;0.24;Administración Pública
(ES62) Región de Murcia;Región de Murcia;Murcia;2008;(ADMINISTRACION_PUBLICA);Government sector;47721;29541076;0.16;Administración Pública
(ES63) Ciudad Autónoma de Ceuta;Ciudad Autónoma de Ceuta;Ceuta;2008;(ADMINISTRACION_PUBLICA);Government sector;62;1483989;0.0;Administración Pública
(ES64) Ciudad Autónoma de Melilla;Ciudad Autónoma de Melilla;Melilla;2008;(ADMINISTRACION_PUBLICA);Government sector;144;1357572;0.01;Administración Pública
(ES70) Canarias;Canarias;Canary Islands;2008;(ENSENIANZA_SUPERIOR);Higher education sector;126835;41156055;0.31;Enseñanza Superior
(ES11) Galicia;Galicia;Galicia;2008;(ENSENIANZA_SUPERIOR);Higher education sector;225669;58253982;0.39;Enseñanza Superior
(ES12) Principado de Asturias;Principado de Asturias;Asturias;2008;(ENSENIANZA_SUPERIOR);Higher education sector;93306;23614274;0.4;Enseñanza Superior
(ES13) Cantabria;Cantabria;Cantabria;2008;(ENSENIANZA_SUPERIOR);Higher education sector;59914;13280853;0.45;Enseñanza Superior
(ES21) País Vasco;País Vasco;Basque Country;2008;(ENSENIANZA_SUPERIOR);Higher education sector;192771;66382420;0.29;Enseñanza Superior
(ES22) Comunidad Foral de Navarra;Comunidad Foral de Navarra;Navarre;2008;(ENSENIANZA_SUPERIOR);Higher education sector;83260;18620264;0.45;Enseñanza Superior
(ES23) La Rioja;La Rioja;La Rioja;2008;(ENSENIANZA_SUPERIOR);Higher education sector;18413;8264894;0.22;Enseñanza Superior
(ES24) Aragón;Aragón;Aragon;2008;(ENSENIANZA_SUPERIOR);Higher education sector;74418;35439689;0.21;Enseñanza Superior
(ES30) Comunidad de Madrid;Comunidad de Madrid;Madrid;2008;(ENSENIANZA_SUPERIOR);Higher education sector;649875;201865569;0.32;Enseñanza Superior
(ES41) Castilla y León;Castilla y León;Castile and León;2008;(ENSENIANZA_SUPERIOR);Higher education sector;207447;56295496;0.37;Enseñanza Superior
(ES42) Castilla - La Mancha;Castilla - La Mancha;Castilla–La Mancha;2008;(ENSENIANZA_SUPERIOR);Higher education sector;81564;40786424;0.2;Enseñanza Superior
(ES43) Extremadura;Extremadura;Extremadura;2008;(ENSENIANZA_SUPERIOR);Higher education sector;86223;18842360;0.46;Enseñanza Superior
(ES51) Cataluña;Cataluña;Catalonia;2008;(ENSENIANZA_SUPERIOR);Higher education sector;724400;208161832;0.35;Enseñanza Superior
(ES52) Comunidad Valenciana;Comunidad Valenciana;Valencia;2008;(ENSENIANZA_SUPERIOR);Higher education sector;494743;107950942;0.46;Enseñanza Superior
(ES53) Illes Balears / Islas Baleares;Illes Balears / Islas Baleares;Balearic Islands;2008;(ENSENIANZA_SUPERIOR);Higher education sector;46250;27892127;0.17;Enseñanza Superior
(ES61) Andalucía;Andalucía;Andalusia;2008;(ENSENIANZA_SUPERIOR);Higher education sector;661049;152247439;0.43;Enseñanza Superior
(ES62) Región de Murcia;Región de Murcia;Murcia;2008;(ENSENIANZA_SUPERIOR);Higher education sector;100426;29541076;0.34;Enseñanza Superior
(ES63) Ciudad Autónoma de Ceuta;Ciudad Autónoma de Ceuta;Ceuta;2008;(ENSENIANZA_SUPERIOR);Higher education sector;2333;1483989;0.16;Enseñanza Superior
(ES64) Ciudad Autónoma de Melilla;Ciudad Autónoma de Melilla;Melilla;2008;(ENSENIANZA_SUPERIOR);Higher education sector;3517;1357572;0.26;Enseñanza Superior
(ES70) Canarias;Canarias;Canary Islands;2008;(_T);All Sectors;268834;41156055;0.65;Total
(ES11) Galicia;Galicia;Galicia;2008;(_T);All Sectors;584213;58253982;1.0;Total
(ES12) Principado de Asturias;Principado de Asturias;Asturias;2008;(_T);All Sectors;229678;23614274;0.97;Total
(ES13) Cantabria;Cantabria;Cantabria;2008;(_T);All Sectors;140791;13280853;1.06;Total
(ES21) País Vasco;País Vasco;Basque Country;2008;(_T);All Sectors;1345572;66382420;2.03;Total
(ES22) Comunidad Foral de Navarra;Comunidad Foral de Navarra;Navarre;2008;(_T);All Sectors;358666;18620264;1.93;Total
(ES23) La Rioja;La Rioja;La Rioja;2008;(_T);All Sectors;81001;8264894;0.98;Total
(ES24) Aragón;Aragón;Aragon;2008;(_T);All Sectors;352376;35439689;0.99;Total
(ES30) Comunidad de Madrid;Comunidad de Madrid;Madrid;2008;(_T);All Sectors;3892148;201865569;1.93;Total
(ES41) Castilla y León;Castilla y León;Castile and León;2008;(_T);All Sectors;739943;56295496;1.31;Total
(ES42) Castilla - La Mancha;Castilla - La Mancha;Castilla–La Mancha;2008;(_T);All Sectors;265741;40786424;0.65;Total
(ES43) Extremadura;Extremadura;Extremadura;2008;(_T);All Sectors;156401;18842360;0.83;Total
(ES51) Cataluña;Cataluña;Catalonia;2008;(_T);All Sectors;3286376;208161832;1.58;Total
(ES52) Comunidad Valenciana;Comunidad Valenciana;Valencia;2008;(_T);All Sectors;1113507;107950942;1.03;Total
(ES53) Illes Balears / Islas Baleares;Illes Balears / Islas Baleares;Balearic Islands;2008;(_T);All Sectors;97385;27892127;0.35;Total
(ES61) Andalucía;Andalucía;Andalusia;2008;(_T);All Sectors;1538946;152247439;1.01;Total
(ES62) Región de Murcia;Región de Murcia;Murcia;2008;(_T);All Sectors;243522;29541076;0.82;Total
(ES63) Ciudad Autónoma de Ceuta;Ciudad Autónoma de Ceuta;Ceuta;2008;(_T);All Sectors;2395;1483989;0.16;Total
(ES64) Ciudad Autónoma de Melilla;Ciudad Autónoma de Melilla;Melilla;2008;(_T);All Sectors;3896;1357572;0.29;Total
(ES70) Canarias;Canarias;Canary Islands;2008;(IPSFL);Private non-profit sector;34;41156055;0.0;Instituciones Privadas sin Fines de Lucro
(ES70) Canarias;Canarias;Canary Islands;2008;(EMPRESAS_IPSFL);Private non-profit sector;60624;41156055;0.15;Empresas e Instituciones Privadas sin Fines de Lucro
(ES11) Galicia;Galicia;Galicia;2008;(EMPRESAS_IPSFL);Private non-profit sector;281033;58253982;0.48;Empresas e Instituciones Privadas sin Fines de Lucro
(ES12) Principado de Asturias;Principado de Asturias;Asturias;2008;(EMPRESAS_IPSFL);Private non-profit sector;99939;23614274;0.42;Empresas e Instituciones Privadas sin Fines de Lucro
(ES13) Cantabria;Cantabria;Cantabria;2008;(EMPRESAS_IPSFL);Private non-profit sector;57075;13280853;0.43;Empresas e Instituciones Privadas sin Fines de Lucro
(ES21) País Vasco;País Vasco;Basque Country;2008;(EMPRESAS_IPSFL);Private non-profit sector;1088817;66382420;1.64;Empresas e Instituciones Privadas sin Fines de Lucro
(ES22) Comunidad Foral de Navarra;Comunidad Foral de Navarra;Navarre;2008;(EMPRESAS_IPSFL);Private non-profit sector;247421;18620264;1.33;Empresas e Instituciones Privadas sin Fines de Lucro
(ES23) La Rioja;La Rioja;La Rioja;2008;(EMPRESAS_IPSFL);Private non-profit sector;46577;8264894;0.56;Empresas e Instituciones Privadas sin Fines de Lucro
(ES24) Aragón;Aragón;Aragon;2008;(EMPRESAS_IPSFL);Private non-profit sector;206544;35439689;0.58;Empresas e Instituciones Privadas sin Fines de Lucro
(ES30) Comunidad de Madrid;Comunidad de Madrid;Madrid;2008;(EMPRESAS_IPSFL);Private non-profit sector;2245498;201865569;1.11;Empresas e Instituciones Privadas sin Fines de Lucro
(ES41) Castilla y León;Castilla y León;Castile and León;2008;(EMPRESAS_IPSFL);Private non-profit sector;458545;56295496;0.81;Empresas e Instituciones Privadas sin Fines de Lucro
(ES42) Castilla - La Mancha;Castilla - La Mancha;Castilla–La Mancha;2008;(EMPRESAS_IPSFL);Private non-profit sector;149362;40786424;0.37;Empresas e Instituciones Privadas sin Fines de Lucro
(ES43) Extremadura;Extremadura;Extremadura;2008;(EMPRESAS_IPSFL);Private non-profit sector;30260;18842360;0.16;Empresas e Instituciones Privadas sin Fines de Lucro
(ES51) Cataluña;Cataluña;Catalonia;2008;(EMPRESAS_IPSFL);Private non-profit sector;2007338;208161832;0.96;Empresas e Instituciones Privadas sin Fines de Lucro
(ES52) Comunidad Valenciana;Comunidad Valenciana;Valencia;2008;(EMPRESAS_IPSFL);Private non-profit sector;484648;107950942;0.45;Empresas e Instituciones Privadas sin Fines de Lucro
(ES53) Illes Balears / Islas Baleares;Illes Balears / Islas Baleares;Balearic Islands;2008;(EMPRESAS_IPSFL);Private non-profit sector;20833;27892127;0.07;Empresas e Instituciones Privadas sin Fines de Lucro
(ES61) Andalucía;Andalucía;Andalusia;2008;(EMPRESAS_IPSFL);Private non-profit sector;516567;152247439;0.34;Empresas e Instituciones Privadas sin Fines de Lucro
(ES62) Región de Murcia;Región de Murcia;Murcia;2008;(EMPRESAS_IPSFL);Private non-profit sector;95375;29541076;0.32;Empresas e Instituciones Privadas sin Fines de Lucro
(ES63) Ciudad Autónoma de Ceuta;Ciudad Autónoma de Ceuta;Ceuta;2008;(EMPRESAS_IPSFL);Private non-profit sector;0;1483989;0.0;Empresas e Instituciones Privadas sin Fines de Lucro
(ES64) Ciudad Autónoma de Melilla;Ciudad Autónoma de Melilla;Melilla;2008;(EMPRESAS_IPSFL);Private non-profit sector;235;1357572;0.02;Empresas e Instituciones Privadas sin Fines de Lucro
(ES70) Canarias;Canarias;Canary Islands;2008;(EMPRESAS);Business enterprise sector;60590;41156055;0.15;Empresas
(ES70) Canarias;Canarias;Canary Islands;2009;(ADMINISTRACION_PUBLICA);Government sector;80787;39505370;0.2;Administración Pública
(ES11) Galicia;Galicia;Galicia;2009;(ADMINISTRACION_PUBLICA);Government sector;84926;56253055;0.15;Administración Pública
(ES12) Principado de Asturias;Principado de Asturias;Asturias;2009;(ADMINISTRACION_PUBLICA);Government sector;38360;22366414;0.17;Administración Pública
(ES13) Cantabria;Cantabria;Cantabria;2009;(ADMINISTRACION_PUBLICA);Government sector;30248;12811684;0.24;Administración Pública
(ES21) País Vasco;País Vasco;Basque Country;2009;(ADMINISTRACION_PUBLICA);Government sector;76604;63601702;0.12;Administración Pública
(ES22) Comunidad Foral de Navarra;Comunidad Foral de Navarra;Navarre;2009;(ADMINISTRACION_PUBLICA);Government sector;36500;18001876;0.2;Administración Pública
(ES23) La Rioja;La Rioja;La Rioja;2009;(ADMINISTRACION_PUBLICA);Government sector;20914;7911873;0.26;Administración Pública
(ES24) Aragón;Aragón;Aragon;2009;(ADMINISTRACION_PUBLICA);Government sector;84018;33814117;0.25;Administración Pública
(ES30) Comunidad de Madrid;Comunidad de Madrid;Madrid;2009;(ADMINISTRACION_PUBLICA);Government sector;1066891;199290149;0.54;Administración Pública
(ES41) Castilla y León;Castilla y León;Castile and León;2009;(ADMINISTRACION_PUBLICA);Government sector;74837;54452146;0.14;Administración Pública
(ES42) Castilla - La Mancha;Castilla - La Mancha;Castilla–La Mancha;2009;(ADMINISTRACION_PUBLICA);Government sector;33596;39355657;0.09;Administración Pública
(ES43) Extremadura;Extremadura;Extremadura;2009;(ADMINISTRACION_PUBLICA);Government sector;59295;18370208;0.32;Administración Pública
(ES51) Cataluña;Cataluña;Catalonia;2009;(ADMINISTRACION_PUBLICA);Government sector;613939;200745296;0.31;Administración Pública
(ES52) Comunidad Valenciana;Comunidad Valenciana;Valencia;2009;(ADMINISTRACION_PUBLICA);Government sector;149574;101989994;0.15;Administración Pública
(ES53) Illes Balears / Islas Baleares;Illes Balears / Islas Baleares;Balearic Islands;2009;(ADMINISTRACION_PUBLICA);Government sector;37541;26770420;0.14;Administración Pública
(ES61) Andalucía;Andalucía;Andalusia;2009;(ADMINISTRACION_PUBLICA);Government sector;390855;145802256;0.27;Administración Pública
(ES62) Región de Murcia;Región de Murcia;Murcia;2009;(ADMINISTRACION_PUBLICA);Government sector;47692;28076274;0.17;Administración Pública
(ES70) Canarias;Canarias;Canary Islands;2009;(ENSENIANZA_SUPERIOR);Higher education sector;110905;39505370;0.28;Enseñanza Superior
(ES11) Galicia;Galicia;Galicia;2009;(ENSENIANZA_SUPERIOR);Higher education sector;206407;56253055;0.37;Enseñanza Superior
(ES12) Principado de Asturias;Principado de Asturias;Asturias;2009;(ENSENIANZA_SUPERIOR);Higher education sector;93600;22366414;0.42;Enseñanza Superior
(ES13) Cantabria;Cantabria;Cantabria;2009;(ENSENIANZA_SUPERIOR);Higher education sector;62801;12811684;0.49;Enseñanza Superior
(ES21) País Vasco;País Vasco;Basque Country;2009;(ENSENIANZA_SUPERIOR);Higher education sector;233472;63601702;0.37;Enseñanza Superior
(ES22) Comunidad Foral de Navarra;Comunidad Foral de Navarra;Navarre;2009;(ENSENIANZA_SUPERIOR);Higher education sector;84149;18001876;0.47;Enseñanza Superior
(ES23) La Rioja;La Rioja;La Rioja;2009;(ENSENIANZA_SUPERIOR);Higher education sector;16708;7911873;0.21;Enseñanza Superior
(ES24) Aragón;Aragón;Aragon;2009;(ENSENIANZA_SUPERIOR);Higher education sector;76114;33814117;0.23;Enseñanza Superior
(ES30) Comunidad de Madrid;Comunidad de Madrid;Madrid;2009;(ENSENIANZA_SUPERIOR);Higher education sector;688011;199290149;0.35;Enseñanza Superior
(ES41) Castilla y León;Castilla y León;Castile and León;2009;(ENSENIANZA_SUPERIOR);Higher education sector;221144;54452146;0.41;Enseñanza Superior
(ES42) Castilla - La Mancha;Castilla - La Mancha;Castilla–La Mancha;2009;(ENSENIANZA_SUPERIOR);Higher education sector;82698;39355657;0.21;Enseñanza Superior
(ES43) Extremadura;Extremadura;Extremadura;2009;(ENSENIANZA_SUPERIOR);Higher education sector;75035;18370208;0.41;Enseñanza Superior
(ES51) Cataluña;Cataluña;Catalonia;2009;(ENSENIANZA_SUPERIOR);Higher education sector;752810;200745296;0.38;Enseñanza Superior
