Country,País,Year,Sector,%GDP,ISO3,label_percent_gdp_id,"GDP Current prices, million euro",GDP Current Prices Flags,Approx_RD_Investment_million_euro
Bulgaria,Bulgaria,2014,All Sectors,0.79,BGR,,43024.7,,339.89513
Czechia,Chequia,2014,All Sectors,1.94,CZE,,158991.5,,3084.4351
Denmark,Dinamarca,2014,All Sectors,2.92,DNK,,265635.7,,7756.562440000001
Germany,Alemania,2014,All Sectors,2.82,DEU,,2985170.0,,84181.794
Estonia,Estonia,2014,All Sectors,1.41,EST,,20365.6,,287.15495999999996
Ireland,Irlanda,2014,All Sectors,1.48,IRL,,200818.3,,2972.11084
Greece,Grecia,2014,All Sectors,0.85,GRC,,176071.8,,1496.6103
Spain,España,2014,All Sectors,1.23,ESP,,1038949.0,,12779.0727
France,Francia,2014,All Sectors,2.22,FRA,,2153733.1,,47812.874820000005
Croatia,Croacia,2014,All Sectors,0.77,HRV,,44284.6,,340.99142
Italy,Italia,2014,All Sectors,1.33,ITA,e,1635870.7,,21757.08031
Cyprus,Chipre,2014,All Sectors,0.51,CYP,,17482.8,,89.16228000000001
Latvia,Letonia,2014,All Sectors,0.71,LVA,,22790.5,,161.81255
Lithuania,Lituania,2014,All Sectors,1.03,LTU,,36410.1,,375.02403
Luxembourg,Luxemburgo,2014,All Sectors,1.22,LUX,,51791.3,,631.8538599999999
Hungary,Hungría,2014,All Sectors,1.34,HUN,,106335.3,,1424.89302
Malta,Malta,2014,All Sectors,0.68,MLT,,8948.5,,60.8498
Netherlands,Países Bajos,2014,All Sectors,2.15,NLD,,678627.0,,14590.4805
Austria,Austria,2014,All Sectors,3.11,AUT,e,330113.5,,10266.529849999999
Poland,Polonia,2014,All Sectors,0.95,POL,,408714.7,,3882.78965
Portugal,Portugal,2014,All Sectors,1.29,PRT,,173186.7,,2234.10843
Romania,Rumanía,2014,All Sectors,0.38,ROU,,150528.8,,572.0094399999999
Slovenia,Eslovenia,2014,All Sectors,2.39,SVN,,37270.9,,890.7745100000001
Slovakia,Eslovaquia,2014,All Sectors,0.87,SVK,,76562.3,,666.09201
Finland,Finlandia,2014,All Sectors,3.16,FIN,,205855.0,,6505.018000000001
Sweden,Suecia,2014,All Sectors,3.12,SWE,e,435641.4,,13592.011680000001
Iceland,Islandia,2014,All Sectors,1.94,ISL,,13472.6,,261.36844
Norway,Noruega,2014,All Sectors,1.7,NOR,,378456.4,,6433.7588000000005
United Kingdom,Reino Unido,2014,All Sectors,1.64,GBR,e,2311080.2,,37901.71528
Bosnia and Herzegovina,Bosnia y Herzegovina,2014,All Sectors,0.26,BIH,,13988.3,,36.36958
Montenegro,Montenegro,2014,All Sectors,0.36,MNE,,3457.9,,12.44844
Serbia,Serbia,2014,All Sectors,0.69,SRB,,37014.0,,255.3966
Türkiye,Turquía,2014,All Sectors,0.86,TUR,,707000.8,,6080.206880000001
European Union - 27 countries (from 2020),Unión Europea (27 países),2015,All Sectors,2.1,EUU,,12307167.4,,258450.51540000003
Euro area – 20 countries (from 2023),Zona Euro (20 países),2015,All Sectors,2.11,EMU,,10615103.7,,223978.68806999995
Euro area – 20 countries (from 2023),Zona Euro (20 países),2015,All Sectors,2.11,EMU,,10660596.8,,224938.59248
Euro area - 19 countries  (2015-2022),Zona Euro (19 países),2015,All Sectors,2.12,EMU,,10615103.7,,225040.19843999998
Euro area - 19 countries  (2015-2022),Zona Euro (19 países),2015,All Sectors,2.12,EMU,,10660596.8,,226004.65216000003
Belgium,Bélgica,2015,All Sectors,2.43,BEL,,415538.0,,10097.573400000001
Bulgaria,Bulgaria,2015,All Sectors,0.95,BGR,,45797.8,,435.07910000000004
Czechia,Chequia,2015,All Sectors,1.91,CZE,,170527.3,,3257.0714299999995
Denmark,Dinamarca,2015,All Sectors,3.06,DNK,,272193.0,,8329.105800000001
Germany,Alemania,2015,All Sectors,2.88,DEU,,3085650.0,,88866.72
Estonia,Estonia,2015,All Sectors,1.44,EST,,21010.9,,302.55696
Ireland,Irlanda,2015,All Sectors,1.14,IRL,,272544.3,,3107.0050199999996
Greece,Grecia,2015,All Sectors,0.97,GRC,,175362.9,,1701.0201299999999
Spain,España,2015,All Sectors,1.21,ESP,,1087112.0,,13154.055199999999
France,Francia,2015,All Sectors,2.22,FRA,,2201401.6,,48871.11552000001
Croatia,Croacia,2015,All Sectors,0.82,HRV,,45493.1,,373.0434199999999
Italy,Italia,2015,All Sectors,1.33,ITA,,1663277.7,,22121.59341
Cyprus,Chipre,2015,All Sectors,0.48,CYP,,17944.2,,86.13216
Latvia,Letonia,2015,All Sectors,0.64,LVA,,23744.3,,151.96352000000002
Lithuania,Lituania,2015,All Sectors,1.04,LTU,,37440.7,,389.38327999999996
Luxembourg,Luxemburgo,2015,All Sectors,1.25,LUX,,54142.3,,676.7787500000001
Hungary,Hungría,2015,All Sectors,1.34,HUN,,112854.0,,1512.2436
Malta,Malta,2015,All Sectors,0.7,MLT,,10221.4,,71.54979999999999
Netherlands,Países Bajos,2015,All Sectors,2.12,NLD,,699175.0,,14822.51
Austria,Austria,2015,All Sectors,3.07,AUT,,342083.5,,10501.96345
Poland,Polonia,2015,All Sectors,1.0,POL,,432485.8,,4324.858
Portugal,Portugal,2015,All Sectors,1.25,PRT,,179392.7,,2242.40875
Romania,Rumanía,2015,All Sectors,0.49,ROU,,160289.0,,785.4161
Slovenia,Eslovenia,2015,All Sectors,2.22,SVN,,38493.9,,854.5645800000001
Slovakia,Eslovaquia,2015,All Sectors,1.15,SVK,,80376.3,,924.32745
Finland,Finlandia,2015,All Sectors,2.89,FIN,,210192.0,,6074.5488000000005
Sweden,Suecia,2015,All Sectors,3.24,SWE,,452423.7,,14658.527880000003
Iceland,Islandia,2015,All Sectors,2.18,ISL,,15795.3,,344.33754
Norway,Noruega,2015,All Sectors,1.92,NOR,,349756.7,,6715.32864
Switzerland,Suiza,2015,All Sectors,3.08,CHE,,625532.7,,19266.40716
United Kingdom,Reino Unido,2015,All Sectors,1.65,GBR,,2644716.5,,43637.822250000005
Montenegro,Montenegro,2015,All Sectors,0.37,MNE,,3654.5,,13.521650000000001
North Macedonia,Macedonia del Norte,2015,All Sectors,0.44,MKD,,9072.3,,39.91812
Serbia,Serbia,2015,All Sectors,0.78,SRB,,37219.6,,290.31288
Türkiye,Turquía,2015,All Sectors,0.97,TUR,,777042.3,,7537.310310000001
European Union - 27 countries (from 2020),Unión Europea (27 países),2016,All Sectors,2.1,EUU,e,12640498.4,,265450.46640000003
Euro area – 20 countries (from 2023),Zona Euro (20 países),2016,All Sectors,2.12,EMU,e,10906041.2,,231208.07343999998
Euro area – 20 countries (from 2023),Zona Euro (20 países),2016,All Sectors,2.12,EMU,e,10953618.4,,232216.71008000002
Euro area - 19 countries  (2015-2022),Zona Euro (19 países),2016,All Sectors,2.13,EMU,e,10906041.2,,232298.67755999998
Euro area - 19 countries  (2015-2022),Zona Euro (19 países),2016,All Sectors,2.13,EMU,e,10953618.4,,233312.07192000002
Belgium,Bélgica,2016,All Sectors,2.53,BEL,,428467.1,,10840.21763
Bulgaria,Bulgaria,2016,All Sectors,0.77,BGR,,48752.1,,375.39117
Czechia,Chequia,2016,All Sectors,1.65,CZE,,179145.9,,2955.90735
Denmark,Dinamarca,2016,All Sectors,3.1,DNK,,282265.1,,8750.2181
Germany,Alemania,2016,All Sectors,2.88,DEU,,3196110.0,,92047.968
Estonia,Estonia,2016,All Sectors,1.22,EST,,22189.0,,270.70579999999995
Ireland,Irlanda,2016,All Sectors,1.15,IRL,,276205.9,,3176.36785
Greece,Grecia,2016,All Sectors,1.01,GRC,,174448.2,,1761.9268200000001
Spain,España,2016,All Sectors,1.18,ESP,,1122967.0,,13251.0106
France,Francia,2016,All Sectors,2.22,FRA,,2231819.2,,49546.38624000001
Croatia,Croacia,2016,All Sectors,0.85,HRV,,47577.2,,404.4062
Italy,Italia,2016,All Sectors,1.36,ITA,b,1704856.7,,23186.05112
Cyprus,Chipre,2016,All Sectors,0.52,CYP,,19013.8,,98.87176
Latvia,Letonia,2016,All Sectors,0.45,LVA,,24498.2,,110.24190000000002
Lithuania,Lituania,2016,All Sectors,0.84,LTU,,38820.7,,326.09387999999996
Luxembourg,Luxemburgo,2016,All Sectors,1.27,LUX,,56208.1,,713.84287
Hungary,Hungría,2016,All Sectors,1.18,HUN,,116593.5,,1375.8033
Malta,Malta,2016,All Sectors,0.54,MLT,,10864.3,,58.66722
Netherlands,Países Bajos,2016,All Sectors,2.12,NLD,,720175.0,,15267.710000000001
Austria,Austria,2016,All Sectors,3.13,AUT,e,355665.6,,11132.333279999999
Poland,Polonia,2016,All Sectors,0.96,POL,,427658.6,,4105.522559999999
Portugal,Portugal,2016,All Sectors,1.28,PRT,,186380.7,,2385.6729600000003
Romania,Rumanía,2016,All Sectors,0.49,ROU,,167497.1,,820.73579
Slovenia,Eslovenia,2016,All Sectors,2.03,SVN,,40013.2,,812.2679599999999
Slovakia,Eslovaquia,2016,All Sectors,0.79,SVK,,81621.6,,644.8106400000001
Finland,Finlandia,2016,All Sectors,2.75,FIN,,215717.0,,5932.2175
Sweden,Suecia,2016,All Sectors,3.26,SWE,e,464967.6,,15157.943759999998
Iceland,Islandia,2016,All Sectors,2.11,ISL,,18804.2,,396.76861999999994
Norway,Noruega,2016,All Sectors,2.03,NOR,,335396.5,,6808.548949999999
United Kingdom,Reino Unido,2016,All Sectors,1.66,GBR,e,2434119.2,,40406.37872
Montenegro,Montenegro,2016,All Sectors,0.32,MNE,,3954.2,,12.65344
North Macedonia,Macedonia del Norte,2016,All Sectors,0.44,MKD,,9656.5,,42.488600000000005
Serbia,Serbia,2016,All Sectors,0.81,SRB,,38164.7,,309.13407
Türkiye,Turquía,2016,All Sectors,1.12,TUR,,785618.9,,8798.931680000002
European Union - 27 countries (from 2020),Unión Europea (27 países),2017,All Sectors,2.14,EUU,,13168340.4,,281802.48456
Euro area – 20 countries (from 2023),Zona Euro (20 países),2017,All Sectors,2.16,EMU,,11316197.6,,244429.86816
Euro area – 20 countries (from 2023),Zona Euro (20 países),2017,All Sectors,2.16,EMU,,11366404.9,,245514.34584000002
Euro area - 19 countries  (2015-2022),Zona Euro (19 países),2017,All Sectors,2.16,EMU,,11316197.6,,244429.86816
Euro area - 19 countries  (2015-2022),Zona Euro (19 países),2017,All Sectors,2.16,EMU,,11366404.9,,245514.34584000002
Belgium,Bélgica,2017,All Sectors,2.68,BEL,,443407.2,,11883.312960000001
Bulgaria,Bulgaria,2017,All Sectors,0.74,BGR,,52501.8,,388.51332
Czechia,Chequia,2017,All Sectors,1.75,CZE,,196738.7,,3442.9272500000006
Denmark,Dinamarca,2017,All Sectors,2.94,DNK,,294355.0,,8654.037
Germany,Alemania,2017,All Sectors,2.99,DEU,,3331110.0,,99600.18900000001
Estonia,Estonia,2017,All Sectors,1.25,EST,,24316.1,,303.95125
Ireland,Irlanda,2017,All Sectors,1.21,IRL,,308522.8,,3733.1258799999996
Greece,Grecia,2017,All Sectors,1.15,GRC,,177378.5,,2039.85275
Spain,España,2017,All Sectors,1.2,ESP,,1170024.0,,14040.288
France,Francia,2017,All Sectors,2.2,FRA,,2291680.5,,50416.971000000005
Croatia,Croacia,2017,All Sectors,0.84,HRV,,50207.3,,421.74132
Italy,Italia,2017,All Sectors,1.36,ITA,,1744493.0,,23725.1048
Cyprus,Chipre,2017,All Sectors,0.54,CYP,,20312.4,,109.68696000000001
Latvia,Letonia,2017,All Sectors,0.53,LVA,,26017.1,,137.89063
Lithuania,Lituania,2017,All Sectors,0.9,LTU,,42274.6,,380.4714
Luxembourg,Luxemburgo,2017,All Sectors,1.24,LUX,,58168.8,,721.29312
Hungary,Hungría,2017,All Sectors,1.31,HUN,,127222.5,,1666.61475
Malta,Malta,2017,All Sectors,0.53,MLT,,12535.7,,66.43921
Netherlands,Países Bajos,2017,All Sectors,2.14,NLD,,750861.0,,16068.425400000002
Austria,Austria,2017,All Sectors,3.07,AUT,,367294.9,,11275.95343
Poland,Polonia,2017,All Sectors,1.03,POL,,469071.2,,4831.43336
Portugal,Portugal,2017,All Sectors,1.32,PRT,,195509.1,,2580.72012
Romania,Rumanía,2017,All Sectors,0.51,ROU,,186399.2,,950.6359200000002
Slovenia,Eslovenia,2017,All Sectors,1.88,SVN,,42625.5,,801.3593999999999
Slovakia,Eslovaquia,2017,All Sectors,0.88,SVK,,84960.4,,747.65152
Finland,Finlandia,2017,All Sectors,2.75,FIN,,224706.0,,6179.415
Sweden,Suecia,2017,All Sectors,3.39,SWE,,475647.1,,16124.436689999999
Iceland,Islandia,2017,All Sectors,2.08,ISL,,21917.7,,455.88815999999997
Norway,Noruega,2017,All Sectors,2.08,NOR,,356288.5,,7410.8008
Switzerland,Suiza,2017,All Sectors,3.08,CHE,,615776.3,,18965.910040000002
United Kingdom,Reino Unido,2017,All Sectors,1.68,GBR,,2359789.9,,39644.47031999999
Montenegro,Montenegro,2017,All Sectors,0.35,MNE,,4299.1,,15.04685
North Macedonia,Macedonia del Norte,2017,All Sectors,0.35,MKD,,10038.3,,35.134049999999995
Serbia,Serbia,2017,All Sectors,0.84,SRB,,40828.4,,342.95856
Türkiye,Turquía,2017,All Sectors,1.18,TUR,,760497.1,,8973.86578
European Union - 27 countries (from 2020),Unión Europea (27 países),2018,All Sectors,2.17,EUU,e,13628438.0,,295737.1046
Euro area – 20 countries (from 2023),Zona Euro (20 países),2018,All Sectors,2.19,EMU,e,11690853.7,,256029.69602999996
Euro area – 20 countries (from 2023),Zona Euro (20 países),2018,All Sectors,2.19,EMU,e,11743889.2,,257191.17347999997
Euro area - 19 countries  (2015-2022),Zona Euro (19 países),2018,All Sectors,2.2,EMU,e,11690853.7,,257198.7814
Euro area - 19 countries  (2015-2022),Zona Euro (19 países),2018,All Sectors,2.2,EMU,e,11743889.2,,258365.5624
Belgium,Bélgica,2018,All Sectors,2.86,BEL,,459491.8,,13141.46548
Bulgaria,Bulgaria,2018,All Sectors,0.76,BGR,,56131.3,,426.59788000000003
Czechia,Chequia,2018,All Sectors,1.88,CZE,,213505.4,,4013.9015199999994
Denmark,Dinamarca,2018,All Sectors,2.98,DNK,,301017.3,,8970.31554
Germany,Alemania,2018,All Sectors,3.05,DEU,,3431130.0,,104649.465
Estonia,Estonia,2018,All Sectors,1.38,EST,,26438.5,,364.8513
Ireland,Irlanda,2018,All Sectors,1.08,IRL,e,334865.7,,3616.5495600000004
Greece,Grecia,2018,All Sectors,1.21,GRC,,180615.7,,2185.44997
Spain,España,2018,All Sectors,1.23,ESP,,1212276.0,,14910.9948
France,Francia,2018,All Sectors,2.2,FRA,,2355362.8,,51817.9816
Croatia,Croacia,2018,All Sectors,0.95,HRV,,53035.5,,503.83725
Italy,Italia,2018,All Sectors,1.42,ITA,,1777744.4,,25243.970479999996
Cyprus,Chipre,2018,All Sectors,0.61,CYP,,21807.8,,133.02757999999997
Latvia,Letonia,2018,All Sectors,0.66,LVA,,28153.4,,185.81244
Lithuania,Lituania,2018,All Sectors,0.93,LTU,,45947.4,,427.31082000000004
Luxembourg,Luxemburgo,2018,All Sectors,1.17,LUX,,60193.4,,704.2627799999999
Hungary,Hungría,2018,All Sectors,1.5,HUN,b,136580.0,,2048.7
Malta,Malta,2018,All Sectors,0.55,MLT,,13678.6,,75.23230000000001
Netherlands,Países Bajos,2018,All Sectors,2.1,NLD,,787273.0,,16532.733
Austria,Austria,2018,All Sectors,3.11,AUT,e,383234.3,,11918.586729999999
Poland,Polonia,2018,All Sectors,1.19,POL,,503951.0,,5997.0169
Portugal,Portugal,2018,All Sectors,1.35,PRT,,204997.6,,2767.4676000000004
Romania,Rumanía,2018,All Sectors,0.5,ROU,,206201.2,,1031.006
Slovenia,Eslovenia,2018,All Sectors,1.96,SVN,,45462.4,,891.06304
Slovakia,Eslovaquia,2018,All Sectors,0.83,SVK,,90275.9,,749.2899699999999
Finland,Finlandia,2018,All Sectors,2.78,FIN,,231905.0,,6446.959
Sweden,Suecia,2018,All Sectors,3.35,SWE,,467162.6,,15649.9471
Iceland,Islandia,2018,All Sectors,2.0,ISL,,22238.3,,444.766
Norway,Noruega,2018,All Sectors,2.03,NOR,,372657.6,,7564.949279999999
United Kingdom,Reino Unido,2018,All Sectors,1.73,GBR,,2420897.2,,41881.52156
Montenegro,Montenegro,2018,All Sectors,0.5,MNE,,4663.1,,23.315500000000004
North Macedonia,Macedonia del Norte,2018,All Sectors,0.36,MKD,,10744.0,,38.678399999999996
Serbia,Serbia,2018,All Sectors,0.88,SRB,,44710.6,,393.45328
Türkiye,Turquía,2018,All Sectors,1.27,TUR,,658963.4,,8368.83518
European Union - 27 countries (from 2020),Unión Europea (27 países),2019,All Sectors,2.21,EUU,e,14122974.2,,312117.72981999995
Euro area – 20 countries (from 2023),Zona Euro (20 países),2019,All Sectors,2.23,EMU,,12082038.6,,269429.46078
Euro area – 20 countries (from 2023),Zona Euro (20 países),2019,All Sectors,2.23,EMU,,12137807.2,,270673.10056
Euro area - 19 countries  (2015-2022),Zona Euro (19 países),2019,All Sectors,2.24,EMU,,12082038.6,,270637.66464000003
Euro area - 19 countries  (2015-2022),Zona Euro (19 países),2019,All Sectors,2.24,EMU,,12137807.2,,271886.88128000003
Belgium,Bélgica,2019,All Sectors,3.15,BEL,,479444.9,,15102.514350000001
Bulgaria,Bulgaria,2019,All Sectors,0.84,BGR,,61308.2,,514.98888
Czechia,Chequia,2019,All Sectors,1.9,CZE,,229406.7,,4358.7273000000005
Denmark,Dinamarca,2019,All Sectors,2.95,DNK,p,308546.2,,9102.1129
Germany,Alemania,2019,All Sectors,3.11,DEU,,3534880.0,,109934.768
Estonia,Estonia,2019,All Sectors,1.59,EST,,28472.1,,452.70639
Ireland,Irlanda,2019,All Sectors,1.14,IRL,,363674.9,,4145.89386
Greece,Grecia,2019,All Sectors,1.26,GRC,,185181.2,,2333.28312
Spain,España,2019,All Sectors,1.24,ESP,,1253710.0,,15546.003999999999
France,Francia,2019,All Sectors,2.2,FRA,,2432206.8,,53508.5496
Croatia,Croacia,2019,All Sectors,1.08,HRV,,55768.6,,602.30088
Italy,Italia,2019,All Sectors,1.46,ITA,,1804066.8,,26339.37528
Cyprus,Chipre,2019,All Sectors,0.7,CYP,,23400.9,,163.8063
Latvia,Letonia,2019,All Sectors,0.66,LVA,,29567.0,,195.1422
Lithuania,Lituania,2019,All Sectors,0.99,LTU,,49239.2,,487.46807999999993
Luxembourg,Luxemburgo,2019,All Sectors,1.18,LUX,,62415.0,,736.497
Hungary,Hungría,2019,All Sectors,1.46,HUN,,147373.2,,2151.64872
Malta,Malta,2019,All Sectors,0.55,MLT,,14594.2,,80.26810000000002
Netherlands,Países Bajos,2019,All Sectors,2.14,NLD,,829767.0,,17757.0138
Austria,Austria,2019,All Sectors,3.14,AUT,,395706.8,,12425.19352
Poland,Polonia,2019,All Sectors,1.31,POL,,538423.5,,7053.34785
Portugal,Portugal,2019,All Sectors,1.39,PRT,,214489.9,,2981.4096099999997
Romania,Rumanía,2019,All Sectors,0.47,ROU,,224767.4,,1056.4067799999998
Slovenia,Eslovenia,2019,All Sectors,2.06,SVN,,48156.5,,992.0239
Slovakia,Eslovaquia,2019,All Sectors,0.82,SVK,,94547.5,,775.2894999999999
Finland,Finlandia,2019,All Sectors,2.82,FIN,,238518.0,,6726.2076
Sweden,Suecia,2019,All Sectors,3.4,SWE,,475341.9,,16161.624600000003
Iceland,Islandia,2019,All Sectors,2.34,ISL,,22043.3,,515.8132199999999
Norway,Noruega,2019,All Sectors,2.14,NOR,,365130.5,,7813.792700000001
Switzerland,Suiza,2019,All Sectors,3.2,CHE,,644443.2,,20622.182399999998
United Kingdom,Reino Unido,2019,All Sectors,1.76,GBR,p,2526615.2,,44468.427520000005
Bosnia and Herzegovina,Bosnia y Herzegovina,2019,All Sectors,0.19,BIH,,18296.5,,34.76335
Montenegro,Montenegro,2019,All Sectors,0.36,MNE,,4950.7,,17.822519999999997
North Macedonia,Macedonia del Norte,2019,All Sectors,0.37,MKD,,11262.0,,41.6694
Serbia,Serbia,2019,All Sectors,0.85,SRB,,48104.5,,408.88825
Türkiye,Turquía,2019,All Sectors,1.32,TUR,,679135.8,,8964.592560000001
European Union - 27 countries (from 2020),Unión Europea (27 países),2020,All Sectors,2.28,EUU,e,13580268.8,,309630.12864
Euro area – 20 countries (from 2023),Zona Euro (20 países),2020,All Sectors,2.31,EMU,e,11564467.6,,267139.20155999996
Euro area – 20 countries (from 2023),Zona Euro (20 países),2020,All Sectors,2.31,EMU,e,11615188.5,,268310.85435
Euro area - 19 countries  (2015-2022),Zona Euro (19 países),2020,All Sectors,2.31,EMU,e,11564467.6,,267139.20155999996
Euro area - 19 countries  (2015-2022),Zona Euro (19 países),2020,All Sectors,2.31,EMU,e,11615188.5,,268310.85435
Belgium,Bélgica,2020,All Sectors,3.37,BEL,,463750.9,,15628.405330000001
Bulgaria,Bulgaria,2020,All Sectors,0.85,BGR,,61912.5,,526.25625
Czechia,Chequia,2020,All Sectors,1.95,CZE,,220310.6,,4296.0567
Denmark,Dinamarca,2020,All Sectors,2.97,DNK,,312118.3,,9269.91351
Germany,Alemania,2020,All Sectors,3.09,DEU,,3449620.0,,106593.25799999999
Estonia,Estonia,2020,All Sectors,1.73,EST,,27859.3,,481.96588999999994
Ireland,Irlanda,2020,All Sectors,1.12,IRL,,382207.1,,4280.719520000001
Greece,Grecia,2020,All Sectors,1.49,GRC,,167539.5,,2496.33855
Spain,España,2020,All Sectors,1.4,ESP,,1129214.0,,15808.996
France,Francia,2020,All Sectors,2.27,FRA,,2318276.2,,52624.86974000001
Croatia,Croacia,2020,All Sectors,1.24,HRV,,50720.9,,628.93916
Italy,Italia,2020,All Sectors,1.5,ITA,,1670011.9,,25050.178499999998
Cyprus,Chipre,2020,All Sectors,0.83,CYP,,22373.6,,185.70087999999998
Latvia,Letonia,2020,All Sectors,0.76,LVA,,29224.3,,222.10468
Lithuania,Lituania,2020,All Sectors,1.12,LTU,,50264.6,,562.96352
Luxembourg,Luxemburgo,2020,All Sectors,1.1,LUX,e,64499.2,,709.4912
Hungary,Hungría,2020,All Sectors,1.58,HUN,,138954.5,,2195.4811000000004
Malta,Malta,2020,All Sectors,0.6,MLT,,14367.0,,86.202
Netherlands,Países Bajos,2020,All Sectors,2.27,NLD,,816463.0,,18533.7101
Austria,Austria,2020,All Sectors,3.21,AUT,e,380317.9,,12208.20459
Poland,Polonia,2020,All Sectors,1.37,POL,,531827.4,,7286.03538
Portugal,Portugal,2020,All Sectors,1.61,PRT,,201032.7,,3236.62647
Romania,Rumanía,2020,All Sectors,0.46,ROU,,221075.5,,1016.9472999999999
Slovenia,Eslovenia,2020,All Sectors,2.16,SVN,,46738.7,,1009.55592
Slovakia,Eslovaquia,2020,All Sectors,0.89,SVK,,94320.6,,839.45334
Finland,Finlandia,2020,All Sectors,2.93,FIN,,236387.0,,6926.1391
Sweden,Suecia,2020,All Sectors,3.5,SWE,,478881.6,,16760.856
Iceland,Islandia,2020,All Sectors,2.49,ISL,,18948.0,,471.8052
Norway,Noruega,2020,All Sectors,2.24,NOR,,322823.8,,7231.253120000001
Bosnia and Herzegovina,Bosnia y Herzegovina,2020,All Sectors,0.2,BIH,,17755.9,,35.5118
North Macedonia,Macedonia del Norte,2020,All Sectors,0.37,MKD,,10851.7,,40.15129
Serbia,Serbia,2020,All Sectors,0.86,SRB,,49024.2,,421.60812
Türkiye,Turquía,2020,All Sectors,1.37,TUR,,626785.3,,8586.958610000001
