STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,coop_ptn,Cooperation partners,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:SDG_09_40(1.0),Patent applications to the European Patent Office by applicants' / inventors' country of residence,A,Annual,APPL,Applicant,NR,Number,AT,Austria,2018,,2281,,,,,
dataflow,ESTAT:SDG_09_40(1.0),Patent applications to the European Patent Office by applicants' / inventors' country of residence,A,Annual,APPL,Applicant,NR,Number,AT,Austria,2019,,2346,,,,,
dataflow,ESTAT:SDG_09_40(1.0),Patent applications to the European Patent Office by applicants' / inventors' country of residence,A,Annual,APPL,Applicant,NR,Number,AT,Austria,2020,,2306,,,,,
dataflow,ESTAT:SDG_09_40(1.0),Patent applications to the European Patent Office by applicants' / inventors' country of residence,A,Annual,APPL,Applicant,NR,Number,AT,Austria,2021,,2309,,,,,
dataflow,ESTAT:SDG_09_40(1.0),Patent applications to the European Patent Office by applicants' / inventors' country of residence,A,Annual,APPL,Applicant,NR,Number,AT,Austria,2022,,2381,,,,,
dataflow,ESTAT:SDG_09_40(1.0),Patent applications to the European Patent Office by applicants' / inventors' country of residence,A,Annual,APPL,Applicant,NR,Number,AT,Austria,2023,,2332,,,,,
dataflow,ESTAT:SDG_09_40(1.0),Patent applications to the European Patent Office by applicants' / inventors' country of residence,A,Annual,APPL,Applicant,NR,Number,AT,Austria,2024,,2146,,p,provisional,,
dataflow,ESTAT:SDG_09_40(1.0),Patent applications to the European Patent Office by applicants' / inventors' country of residence,A,Annual,APPL,Applicant,NR,Number,BA,Bosnia and Herzegovina,2009,,1,,,,,
dataflow,ESTAT:SDG_09_40(1.0),Patent applications to the European Patent Office by applicants' / inventors' country of residence,A,Annual,APPL,Applicant,NR,Number,BA,Bosnia and Herzegovina,2010,,2,,,,,
dataflow,ESTAT:SDG_09_40(1.0),Patent applications to the European Patent Office by applicants' / inventors' country of residence,A,Annual,APPL,Applicant,NR,Number,BA,Bosnia and Herzegovina,2011,,0,,,,,
dataflow,ESTAT:SDG_09_40(1.0),Patent applications to the European Patent Office by applicants' / inventors' country of residence,A,Annual,APPL,Applicant,NR,Number,BA,Bosnia and Herzegovina,2012,,3,,,,,
dataflow,ESTAT:SDG_09_40(1.0),Patent applications to the European Patent Office by applicants' / inventors' country of residence,A,Annual,APPL,Applicant,NR,Number,BA,Bosnia and Herzegovina,2013,,1,,,,,
dataflow,ESTAT:SDG_09_40(1.0),Patent applications to the European Patent Office by applicants' / inventors' country of residence,A,Annual,APPL,Applicant,NR,Number,BA,Bosnia and Herzegovina,2014,,0,,,,,
dataflow,ESTAT:SDG_09_40(1.0),Patent applications to the European Patent Office by applicants' / inventors' country of residence,A,Annual,APPL,Applicant,NR,Number,BA,Bosnia and Herzegovina,2015,,0,,,,,
dataflow,ESTAT:SDG_09_40(1.0),Patent applications to the European Patent Office by applicants' / inventors' country of residence,A,Annual,APPL,Applicant,NR,Number,BA,Bosnia and Herzegovina,2016,,2,,,,,
dataflow,ESTAT:SDG_09_40(1.0),Patent applications to the European Patent Office by applicants' / inventors' country of residence,A,Annual,APPL,Applicant,NR,Number,BA,Bosnia and Herzegovina,2017,,0,,,,,
dataflow,ESTAT:SDG_09_40(1.0),Patent applications to the European Patent Office by applicants' / inventors' country of residence,A,Annual,APPL,Applicant,NR,Number,BA,Bosnia and Herzegovina,2018,,1,,,,,
dataflow,ESTAT:SDG_09_40(1.0),Patent applications to the European Patent Office by applicants' / inventors' country of residence,A,Annual,APPL,Applicant,NR,Number,BA,Bosnia and Herzegovina,2019,,2,,,,,
dataflow,ESTAT:SDG_09_40(1.0),Patent applications to the European Patent Office by applicants' / inventors' country of residence,A,Annual,APPL,Applicant,NR,Number,BA,Bosnia and Herzegovina,2020,,4,,,,,
dataflow,ESTAT:SDG_09_40(1.0),Patent applications to the European Patent Office by applicants' / inventors' country of residence,A,Annual,APPL,Applicant,NR,Number,BA,Bosnia and Herzegovina,2021,,1,,,,,
dataflow,ESTAT:SDG_09_40(1.0),Patent applications to the European Patent Office by applicants' / inventors' country of residence,A,Annual,APPL,Applicant,NR,Number,BA,Bosnia and Herzegovina,2022,,7,,,,,
dataflow,ESTAT:SDG_09_40(1.0),Patent applications to the European Patent Office by applicants' / inventors' country of residence,A,Annual,APPL,Applicant,NR,Number,BA,Bosnia and Herzegovina,2023,,8,,,,,
dataflow,ESTAT:SDG_09_40(1.0),Patent applications to the European Patent Office by applicants' / inventors' country of residence,A,Annual,APPL,Applicant,NR,Number,BA,Bosnia and Herzegovina,2024,,6,,p,provisional,,
dataflow,ESTAT:SDG_09_40(1.0),Patent applications to the European Patent Office by applicants' / inventors' country of residence,A,Annual,APPL,Applicant,NR,Number,BE,Belgium,2004,,1493,,,,,
dataflow,ESTAT:SDG_09_40(1.0),Patent applications to the European Patent Office by applicants' / inventors' country of residence,A,Annual,APPL,Applicant,NR,Number,BE,Belgium,2005,,1658,,,,,
dataflow,ESTAT:SDG_09_40(1.0),Patent applications to the European Patent Office by applicants' / inventors' country of residence,A,Annual,APPL,Applicant,NR,Number,BE,Belgium,2006,,1842,,,,,
dataflow,ESTAT:SDG_09_40(1.0),Patent applications to the European Patent Office by applicants' / inventors' country of residence,A,Annual,APPL,Applicant,NR,Number,BE,Belgium,2007,,1898,,,,,
dataflow,ESTAT:SDG_09_40(1.0),Patent applications to the European Patent Office by applicants' / inventors' country of residence,A,Annual,APPL,Applicant,NR,Number,BE,Belgium,2008,,1899,,,,,
dataflow,ESTAT:SDG_09_40(1.0),Patent applications to the European Patent Office by applicants' / inventors' country of residence,A,Annual,APPL,Applicant,NR,Number,BE,Belgium,2009,,1629,,,,,
dataflow,ESTAT:SDG_09_40(1.0),Patent applications to the European Patent Office by applicants' / inventors' country of residence,A,Annual,APPL,Applicant,NR,Number,BE,Belgium,2010,,2045,,,,,
dataflow,ESTAT:SDG_09_40(1.0),Patent applications to the European Patent Office by applicants' / inventors' country of residence,A,Annual,APPL,Applicant,NR,Number,BE,Belgium,2011,,2014,,,,,
dataflow,ESTAT:SDG_09_40(1.0),Patent applications to the European Patent Office by applicants' / inventors' country of residence,A,Annual,APPL,Applicant,NR,Number,BE,Belgium,2012,,1886,,,,,
dataflow,ESTAT:SDG_09_40(1.0),Patent applications to the European Patent Office by applicants' / inventors' country of residence,A,Annual,APPL,Applicant,NR,Number,BE,Belgium,2013,,1882,,,,,
dataflow,ESTAT:SDG_09_40(1.0),Patent applications to the European Patent Office by applicants' / inventors' country of residence,A,Annual,APPL,Applicant,NR,Number,BE,Belgium,2014,,1927,,,,,
dataflow,ESTAT:SDG_09_40(1.0),Patent applications to the European Patent Office by applicants' / inventors' country of residence,A,Annual,APPL,Applicant,NR,Number,BE,Belgium,2015,,2041,,,,,
dataflow,ESTAT:SDG_09_40(1.0),Patent applications to the European Patent Office by applicants' / inventors' country of residence,A,Annual,APPL,Applicant,NR,Number,BE,Belgium,2016,,2211,,,,,
dataflow,ESTAT:SDG_09_40(1.0),Patent applications to the European Patent Office by applicants' / inventors' country of residence,A,Annual,APPL,Applicant,NR,Number,BE,Belgium,2017,,2152,,,,,
dataflow,ESTAT:SDG_09_40(1.0),Patent applications to the European Patent Office by applicants' / inventors' country of residence,A,Annual,APPL,Applicant,NR,Number,BE,Belgium,2018,,2348,,,,,
dataflow,ESTAT:SDG_09_40(1.0),Patent applications to the European Patent Office by applicants' / inventors' country of residence,A,Annual,APPL,Applicant,NR,Number,BE,Belgium,2019,,2422,,,,,
dataflow,ESTAT:SDG_09_40(1.0),Patent applications to the European Patent Office by applicants' / inventors' country of residence,A,Annual,APPL,Applicant,NR,Number,BE,Belgium,2020,,2406,,,,,
dataflow,ESTAT:SDG_09_40(1.0),Patent applications to the European Patent Office by applicants' / inventors' country of residence,A,Annual,APPL,Applicant,NR,Number,BE,Belgium,2021,,2480,,,,,
dataflow,ESTAT:SDG_09_40(1.0),Patent applications to the European Patent Office by applicants' / inventors' country of residence,A,Annual,APPL,Applicant,NR,Number,BE,Belgium,2022,,2603,,,,,
dataflow,ESTAT:SDG_09_40(1.0),Patent applications to the European Patent Office by applicants' / inventors' country of residence,A,Annual,APPL,Applicant,NR,Number,BE,Belgium,2023,,2587,,,,,
dataflow,ESTAT:SDG_09_40(1.0),Patent applications to the European Patent Office by applicants' / inventors' country of residence,A,Annual,APPL,Applicant,NR,Number,BE,Belgium,2024,,2615,,p,provisional,,
dataflow,ESTAT:SDG_09_40(1.0),Patent applications to the European Patent Office by applicants' / inventors' country of residence,A,Annual,APPL,Applicant,NR,Number,BG,Bulgaria,2004,,16,,,,,
dataflow,ESTAT:SDG_09_40(1.0),Patent applications to the European Patent Office by applicants' / inventors' country of residence,A,Annual,APPL,Applicant,NR,Number,BG,Bulgaria,2005,,11,,,,,
dataflow,ESTAT:SDG_09_40(1.0),Patent applications to the European Patent Office by applicants' / inventors' country of residence,A,Annual,APPL,Applicant,NR,Number,BG,Bulgaria,2006,,12,,,,,
dataflow,ESTAT:SDG_09_40(1.0),Patent applications to the European Patent Office by applicants' / inventors' country of residence,A,Annual,APPL,Applicant,NR,Number,BG,Bulgaria,2007,,16,,,,,
dataflow,ESTAT:SDG_09_40(1.0),Patent applications to the European Patent Office by applicants' / inventors' country of residence,A,Annual,APPL,Applicant,NR,Number,BG,Bulgaria,2008,,15,,,,,
dataflow,ESTAT:SDG_09_40(1.0),Patent applications to the European Patent Office by applicants' / inventors' country of residence,A,Annual,APPL,Applicant,NR,Number,BG,Bulgaria,2009,,19,,,,,
dataflow,ESTAT:SDG_09_40(1.0),Patent applications to the European Patent Office by applicants' / inventors' country of residence,A,Annual,APPL,Applicant,NR,Number,BG,Bulgaria,2010,,11,,,,,
dataflow,ESTAT:SDG_09_40(1.0),Patent applications to the European Patent Office by applicants' / inventors' country of residence,A,Annual,APPL,Applicant,NR,Number,BG,Bulgaria,2011,,16,,,,,
dataflow,ESTAT:SDG_09_40(1.0),Patent applications to the European Patent Office by applicants' / inventors' country of residence,A,Annual,APPL,Applicant,NR,Number,BG,Bulgaria,2012,,13,,,,,
dataflow,ESTAT:SDG_09_40(1.0),Patent applications to the European Patent Office by applicants' / inventors' country of residence,A,Annual,APPL,Applicant,NR,Number,BG,Bulgaria,2013,,23,,,,,
dataflow,ESTAT:SDG_09_40(1.0),Patent applications to the European Patent Office by applicants' / inventors' country of residence,A,Annual,APPL,Applicant,NR,Number,BG,Bulgaria,2014,,34,,,,,
dataflow,ESTAT:SDG_09_40(1.0),Patent applications to the European Patent Office by applicants' / inventors' country of residence,A,Annual,APPL,Applicant,NR,Number,BG,Bulgaria,2015,,33,,,,,
dataflow,ESTAT:SDG_09_40(1.0),Patent applications to the European Patent Office by applicants' / inventors' country of residence,A,Annual,APPL,Applicant,NR,Number,BG,Bulgaria,2016,,20,,,,,
dataflow,ESTAT:SDG_09_40(1.0),Patent applications to the European Patent Office by applicants' / inventors' country of residence,A,Annual,APPL,Applicant,NR,Number,BG,Bulgaria,2017,,32,,,,,
dataflow,ESTAT:SDG_09_40(1.0),Patent applications to the European Patent Office by applicants' / inventors' country of residence,A,Annual,APPL,Applicant,NR,Number,BG,Bulgaria,2018,,31,,,,,
dataflow,ESTAT:SDG_09_40(1.0),Patent applications to the European Patent Office by applicants' / inventors' country of residence,A,Annual,APPL,Applicant,NR,Number,BG,Bulgaria,2019,,35,,,,,
dataflow,ESTAT:SDG_09_40(1.0),Patent applications to the European Patent Office by applicants' / inventors' country of residence,A,Annual,APPL,Applicant,NR,Number,BG,Bulgaria,2020,,54,,,,,
dataflow,ESTAT:SDG_09_40(1.0),Patent applications to the European Patent Office by applicants' / inventors' country of residence,A,Annual,APPL,Applicant,NR,Number,BG,Bulgaria,2021,,43,,,,,
dataflow,ESTAT:SDG_09_40(1.0),Patent applications to the European Patent Office by applicants' / inventors' country of residence,A,Annual,APPL,Applicant,NR,Number,BG,Bulgaria,2022,,46,,,,,
dataflow,ESTAT:SDG_09_40(1.0),Patent applications to the European Patent Office by applicants' / inventors' country of residence,A,Annual,APPL,Applicant,NR,Number,BG,Bulgaria,2023,,41,,,,,
dataflow,ESTAT:SDG_09_40(1.0),Patent applications to the European Patent Office by applicants' / inventors' country of residence,A,Annual,APPL,Applicant,NR,Number,BG,Bulgaria,2024,,53,,p,provisional,,
dataflow,ESTAT:SDG_09_40(1.0),Patent applications to the European Patent Office by applicants' / inventors' country of residence,A,Annual,APPL,Applicant,NR,Number,CH,Switzerland,2004,,4663,,,,,
dataflow,ESTAT:SDG_09_40(1.0),Patent applications to the European Patent Office by applicants' / inventors' country of residence,A,Annual,APPL,Applicant,NR,Number,CH,Switzerland,2005,,5027,,,,,
dataflow,ESTAT:SDG_09_40(1.0),Patent applications to the European Patent Office by applicants' / inventors' country of residence,A,Annual,APPL,Applicant,NR,Number,CH,Switzerland,2006,,5503,,,,,
dataflow,ESTAT:SDG_09_40(1.0),Patent applications to the European Patent Office by applicants' / inventors' country of residence,A,Annual,APPL,Applicant,NR,Number,CH,Switzerland,2007,,5871,,,,,
dataflow,ESTAT:SDG_09_40(1.0),Patent applications to the European Patent Office by applicants' / inventors' country of residence,A,Annual,APPL,Applicant,NR,Number,CH,Switzerland,2008,,5942,,,,,
dataflow,ESTAT:SDG_09_40(1.0),Patent applications to the European Patent Office by applicants' / inventors' country of residence,A,Annual,APPL,Applicant,NR,Number,CH,Switzerland,2009,,5887,,,,,
dataflow,ESTAT:SDG_09_40(1.0),Patent applications to the European Patent Office by applicants' / inventors' country of residence,A,Annual,APPL,Applicant,NR,Number,CH,Switzerland,2010,,6864,,,,,
dataflow,ESTAT:SDG_09_40(1.0),Patent applications to the European Patent Office by applicants' / inventors' country of residence,A,Annual,APPL,Applicant,NR,Number,CH,Switzerland,2011,,6553,,,,,
dataflow,ESTAT:SDG_09_40(1.0),Patent applications to the European Patent Office by applicants' / inventors' country of residence,A,Annual,APPL,Applicant,NR,Number,CH,Switzerland,2012,,6746,,,,,
dataflow,ESTAT:SDG_09_40(1.0),Patent applications to the European Patent Office by applicants' / inventors' country of residence,A,Annual,APPL,Applicant,NR,Number,CH,Switzerland,2013,,6742,,,,,
dataflow,ESTAT:SDG_09_40(1.0),Patent applications to the European Patent Office by applicants' / inventors' country of residence,A,Annual,APPL,Applicant,NR,Number,CH,Switzerland,2014,,6910,,,,,
dataflow,ESTAT:SDG_09_40(1.0),Patent applications to the European Patent Office by applicants' / inventors' country of residence,A,Annual,APPL,Applicant,NR,Number,CH,Switzerland,2015,,7116,,,,,
dataflow,ESTAT:SDG_09_40(1.0),Patent applications to the European Patent Office by applicants' / inventors' country of residence,A,Annual,APPL,Applicant,NR,Number,CH,Switzerland,2016,,7302,,,,,
dataflow,ESTAT:SDG_09_40(1.0),Patent applications to the European Patent Office by applicants' / inventors' country of residence,A,Annual,APPL,Applicant,NR,Number,CH,Switzerland,2017,,7354,,,,,
dataflow,ESTAT:SDG_09_40(1.0),Patent applications to the European Patent Office by applicants' / inventors' country of residence,A,Annual,APPL,Applicant,NR,Number,CH,Switzerland,2018,,7961,,,,,
dataflow,ESTAT:SDG_09_40(1.0),Patent applications to the European Patent Office by applicants' / inventors' country of residence,A,Annual,APPL,Applicant,NR,Number,CH,Switzerland,2019,,8266,,,,,
dataflow,ESTAT:SDG_09_40(1.0),Patent applications to the European Patent Office by applicants' / inventors' country of residence,A,Annual,APPL,Applicant,NR,Number,CH,Switzerland,2020,,8125,,,,,
dataflow,ESTAT:SDG_09_40(1.0),Patent applications to the European Patent Office by applicants' / inventors' country of residence,A,Annual,APPL,Applicant,NR,Number,CH,Switzerland,2021,,8504,,,,,
dataflow,ESTAT:SDG_09_40(1.0),Patent applications to the European Patent Office by applicants' / inventors' country of residence,A,Annual,APPL,Applicant,NR,Number,CH,Switzerland,2022,,9160,,,,,
dataflow,ESTAT:SDG_09_40(1.0),Patent applications to the European Patent Office by applicants' / inventors' country of residence,A,Annual,APPL,Applicant,NR,Number,CH,Switzerland,2023,,9656,,,,,
dataflow,ESTAT:SDG_09_40(1.0),Patent applications to the European Patent Office by applicants' / inventors' country of residence,A,Annual,APPL,Applicant,NR,Number,CH,Switzerland,2024,,9966,,p,provisional,,
dataflow,ESTAT:SDG_09_40(1.0),Patent applications to the European Patent Office by applicants' / inventors' country of residence,A,Annual,APPL,Applicant,NR,Number,CY,Cyprus,2004,,20,,,,,
dataflow,ESTAT:SDG_09_40(1.0),Patent applications to the European Patent Office by applicants' / inventors' country of residence,A,Annual,APPL,Applicant,NR,Number,CY,Cyprus,2005,,35,,,,,
dataflow,ESTAT:SDG_09_40(1.0),Patent applications to the European Patent Office by applicants' / inventors' country of residence,A,Annual,APPL,Applicant,NR,Number,CY,Cyprus,2006,,47,,,,,
dataflow,ESTAT:SDG_09_40(1.0),Patent applications to the European Patent Office by applicants' / inventors' country of residence,A,Annual,APPL,Applicant,NR,Number,CY,Cyprus,2007,,42,,,,,
dataflow,ESTAT:SDG_09_40(1.0),Patent applications to the European Patent Office by applicants' / inventors' country of residence,A,Annual,APPL,Applicant,NR,Number,CY,Cyprus,2008,,56,,,,,
dataflow,ESTAT:SDG_09_40(1.0),Patent applications to the European Patent Office by applicants' / inventors' country of residence,A,Annual,APPL,Applicant,NR,Number,CY,Cyprus,2009,,42,,,,,
dataflow,ESTAT:SDG_09_40(1.0),Patent applications to the European Patent Office by applicants' / inventors' country of residence,A,Annual,APPL,Applicant,NR,Number,CY,Cyprus,2010,,49,,,,,
dataflow,ESTAT:SDG_09_40(1.0),Patent applications to the European Patent Office by applicants' / inventors' country of residence,A,Annual,APPL,Applicant,NR,Number,CY,Cyprus,2011,,55,,,,,
dataflow,ESTAT:SDG_09_40(1.0),Patent applications to the European Patent Office by applicants' / inventors' country of residence,A,Annual,APPL,Applicant,NR,Number,CY,Cyprus,2012,,56,,,,,
dataflow,ESTAT:SDG_09_40(1.0),Patent applications to the European Patent Office by applicants' / inventors' country of residence,A,Annual,APPL,Applicant,NR,Number,CY,Cyprus,2013,,41,,,,,
dataflow,ESTAT:SDG_09_40(1.0),Patent applications to the European Patent Office by applicants' / inventors' country of residence,A,Annual,APPL,Applicant,NR,Number,CY,Cyprus,2014,,44,,,,,
dataflow,ESTAT:SDG_09_40(1.0),Patent applications to the European Patent Office by applicants' / inventors' country of residence,A,Annual,APPL,Applicant,NR,Number,CY,Cyprus,2015,,39,,,,,
dataflow,ESTAT:SDG_09_40(1.0),Patent applications to the European Patent Office by applicants' / inventors' country of residence,A,Annual,APPL,Applicant,NR,Number,CY,Cyprus,2016,,36,,,,,
dataflow,ESTAT:SDG_09_40(1.0),Patent applications to the European Patent Office by applicants' / inventors' country of residence,A,Annual,APPL,Applicant,NR,Number,CY,Cyprus,2017,,49,,,,,
dataflow,ESTAT:SDG_09_40(1.0),Patent applications to the European Patent Office by applicants' / inventors' country of residence,A,Annual,APPL,Applicant,NR,Number,CY,Cyprus,2018,,49,,,,,
dataflow,ESTAT:SDG_09_40(1.0),Patent applications to the European Patent Office by applicants' / inventors' country of residence,A,Annual,APPL,Applicant,NR,Number,CY,Cyprus,2019,,48,,,,,
dataflow,ESTAT:SDG_09_40(1.0),Patent applications to the European Patent Office by applicants' / inventors' country of residence,A,Annual,APPL,Applicant,NR,Number,CY,Cyprus,2020,,65,,,,,
dataflow,ESTAT:SDG_09_40(1.0),Patent applications to the European Patent Office by applicants' / inventors' country of residence,A,Annual,APPL,Applicant,NR,Number,CY,Cyprus,2021,,42,,,,,
dataflow,ESTAT:SDG_09_40(1.0),Patent applications to the European Patent Office by applicants' / inventors' country of residence,A,Annual,APPL,Applicant,NR,Number,CY,Cyprus,2022,,43,,,,,
dataflow,ESTAT:SDG_09_40(1.0),Patent applications to the European Patent Office by applicants' / inventors' country of residence,A,Annual,APPL,Applicant,NR,Number,CY,Cyprus,2023,,56,,,,,
dataflow,ESTAT:SDG_09_40(1.0),Patent applications to the European Patent Office by applicants' / inventors' country of residence,A,Annual,APPL,Applicant,NR,Number,CY,Cyprus,2024,,62,,p,provisional,,
dataflow,ESTAT:SDG_09_40(1.0),Patent applications to the European Patent Office by applicants' / inventors' country of residence,A,Annual,APPL,Applicant,NR,Number,CZ,Czechia,2004,,84,,,,,
dataflow,ESTAT:SDG_09_40(1.0),Patent applications to the European Patent Office by applicants' / inventors' country of residence,A,Annual,APPL,Applicant,NR,Number,CZ,Czechia,2005,,73,,,,,
dataflow,ESTAT:SDG_09_40(1.0),Patent applications to the European Patent Office by applicants' / inventors' country of residence,A,Annual,APPL,Applicant,NR,Number,CZ,Czechia,2006,,82,,,,,
dataflow,ESTAT:SDG_09_40(1.0),Patent applications to the European Patent Office by applicants' / inventors' country of residence,A,Annual,APPL,Applicant,NR,Number,CZ,Czechia,2007,,96,,,,,
dataflow,ESTAT:SDG_09_40(1.0),Patent applications to the European Patent Office by applicants' / inventors' country of residence,A,Annual,APPL,Applicant,NR,Number,CZ,Czechia,2008,,110,,,,,
dataflow,ESTAT:SDG_09_40(1.0),Patent applications to the European Patent Office by applicants' / inventors' country of residence,A,Annual,APPL,Applicant,NR,Number,CZ,Czechia,2009,,135,,,,,
dataflow,ESTAT:SDG_09_40(1.0),Patent applications to the European Patent Office by applicants' / inventors' country of residence,A,Annual,APPL,Applicant,NR,Number,CZ,Czechia,2010,,167,,,,,
dataflow,ESTAT:SDG_09_40(1.0),Patent applications to the European Patent Office by applicants' / inventors' country of residence,A,Annual,APPL,Applicant,NR,Number,CZ,Czechia,2011,,162,,,,,
dataflow,ESTAT:SDG_09_40(1.0),Patent applications to the European Patent Office by applicants' / inventors' country of residence,A,Annual,APPL,Applicant,NR,Number,CZ,Czechia,2012,,140,,,,,
dataflow,ESTAT:SDG_09_40(1.0),Patent applications to the European Patent Office by applicants' / inventors' country of residence,A,Annual,APPL,Applicant,NR,Number,CZ,Czechia,2013,,151,,,,,
